"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP1","SP4"
"31","DPi","Pipo Derani","1","1:40.626","1:40.626","Green","Track","0.000","15.875","0.622","15.612","11.326","9.091","0.576","14.098","10.250","9.713","2.163","4.004","127.156","140.862"
"5","DPi","Joao Barbosa","1","1:42.428","1:42.428","Green","Track","584.617","15.337","0.648","15.694","11.175","9.313","0.626","14.515","10.298","10.064","2.171","4.011","122.054","129.611"
"14","GTD","Richard Heistand","1","1:49.855","1:49.855","Green","Track","531.919","15.883","0.613","17.232","12.013","10.243","0.591","14.476","11.033","10.782","2.467","4.535","129.023","137.287"
"96","GTD","Bill Auberlen","1","1:51.719","1:51.719","Green","Track","149.775","15.441","0.593","15.949","11.896","10.137","0.579","14.578","11.152","11.298","2.462","4.472","133.374","140.132"
"12","GTD","Frank Montecalvo","1","2:06.187","2:06.187","Green","Track","0.000","16.977","0.628","17.753","12.888","10.442","0.594","15.316","11.392","11.444","2.488","4.558","125.941","136.593"
"77","DPi","Oliver Jarvis","1","2:07.196","2:07.196","Green","Track","10.037","15.575","0.720","17.559","12.215","9.007","0.602","14.762","10.932","10.868","2.219","4.259","109.848","134.778"
"50","DPi","Victor Franzoni","1","2:16.550","2:16.550","Green","Track","11.896","14.614","0.600","15.698","12.325","10.451","0.900","17.030","12.230","11.280","2.294","4.133","131.818","90.152"
"8","GTD","Parker Chase","1","2:19.221","2:19.221","Green","Track","9.462","17.780","1.002","18.560","13.209","12.632","0.901","16.549","11.545","12.331","2.565","4.815","78.933","90.051"
"63","GTD","Toni Vilander","1","2:20.000","2:20.000","Green","Track","10.124","18.173","0.794","18.106","12.919","10.678","0.781","16.142","11.678","12.044","2.539","4.656","99.611","103.888"
"7","DPi","Ricky Taylor","1","2:20.951","2:20.951","Green","Track","0.000","16.521","0.583","16.868","11.714","9.063","0.615","15.141","11.773","10.402","2.194","4.036","135.662","131.929"
"54","DPi","Jonathan Bennett","1","2:22.395","2:22.395","Green","Track","11.407","16.889","0.736","18.554","13.290","9.827","0.823","17.391","12.967","11.501","2.224","4.173","107.460","98.586"
"76","GTD","Matt Plumb","1","2:24.040","2:24.040","Green","Track","11.919","19.925","0.634","16.521","11.928","10.133","0.665","15.571","11.915","11.790","2.527","4.623","124.749","122.010"
"73","GTD","Patrick Long","1","2:26.099","2:26.099","Green","Track","0.000","19.306","0.655","16.775","11.681","10.101","0.670","15.587","11.749","13.528","2.627","4.659","120.749","121.099"
"85","DPi","Misha Goikhberg","1","2:26.424","2:26.424","Green","Pit","417.655","14.322","0.632","16.286","11.221","10.467","0.661","14.479","10.423","10.508","5.750","40.169","125.144","122.748"
"86","GTD","Trent Hindman","1","2:27.777","2:27.777","Green","Track","0.000","19.092","0.640","17.521","12.398","10.148","0.649","16.602","11.750","11.128","2.485","4.532","123.580","125.018"
"55","DPi","Harry Tincknell","1","2:28.053","2:28.053","Green","Track","9.442","14.361","0.622","16.980","11.593","8.933","0.550","15.448","11.329","10.341","2.142","4.578","127.156","147.521"
"10","DPi","Renger Van Der Zande","1","2:28.224","2:28.224","Green","Pit","0.000","16.946","0.816","21.029","13.170","11.361","0.961","16.679","12.763","12.106","6.102","11.243","96.925","84.429"
"6","DPi","Juan Pablo Montoya","1","2:28.962","2:28.962","Green","Pit","9.818","14.256","0.631","16.733","11.409","9.038","0.530","13.987","10.257","10.296","5.500","32.803","125.342","153.087"
"48","GTD","Ryan Hardwick","1","2:30.787","2:30.787","Green","Track","11.755","22.722","0.706","17.747","12.655","10.936","0.684","17.012","12.146","12.443","2.593","4.696","112.027","118.620"
"57","GTD","Christina Nielsen","1","2:35.366","2:35.366","Green","Track","0.000","18.038","0.611","17.904","12.217","10.214","0.591","14.935","11.470","13.316","3.679","5.159","129.445","137.287"
"84","DPi","Simon Trummer","1","2:46.484","2:46.484","Green","Pit","10.235","15.132","0.736","17.988","11.942","9.205","0.630","14.998","10.860","10.731","5.788","39.192","107.460","128.788"
"31","DPi","Pipo Derani","2","1:26.359","3:06.985","Green","Track","3.290","11.526","0.516","13.446","9.987","8.836","0.517","13.055","9.783","9.334","2.119","3.950","153.277","156.937"
"44","GTD","John Potter","1","3:12.286","3:12.286","Green","Pit","9.770","18.037","0.747","16.797","12.693","10.331","0.615","16.230","12.395","11.868","6.152","41.443","105.878","131.929"
"74","GTD","Gar Robinson V","1","3:15.869","3:15.869","Green","Pit","12.069","20.770","0.816","17.765","12.795","10.454","0.606","16.260","12.743","12.087","5.600","45.931","96.925","133.888"
"5","DPi","Joao Barbosa","2","1:38.881","3:21.309","Green","Pit","3.318","11.621","0.518","13.851","10.240","8.844","0.523","13.202","9.999","10.053","5.197","11.515","152.685","155.136"
"14","GTD","Richard Heistand","2","1:34.423","3:24.278","Green","Track","3.518","13.201","0.581","14.132","10.935","9.927","0.578","13.805","10.476","10.361","2.427","4.482","136.129","140.374"
"96","GTD","Bill Auberlen","2","1:34.693","3:26.412","Green","Track","3.618","13.039","0.568","14.368","10.773","9.838","0.570","13.871","10.755","10.490","2.392","4.411","139.245","142.344"
"77","DPi","Oliver Jarvis","2","1:28.388","3:35.584","Green","Track","3.584","11.849","0.526","14.314","10.615","8.644","0.512","13.020","10.015","9.308","2.081","3.920","150.363","158.469"
"12","GTD","Frank Montecalvo","2","1:37.289","3:43.476","Green","Track","3.542","13.197","0.589","15.412","11.211","10.021","0.587","14.179","10.601","10.917","2.480","4.553","134.280","138.222"
"50","DPi","Victor Franzoni","2","1:30.179","3:46.729","Green","Track","3.245","12.026","0.535","14.473","10.602","8.962","0.533","13.454","10.205","9.962","2.179","4.003","147.833","152.226"
"7","DPi","Ricky Taylor","2","1:30.847","3:51.798","Green","Track","3.366","12.725","0.522","14.486","10.692","8.962","0.521","13.432","10.342","9.719","2.125","3.955","151.515","155.732"
"54","DPi","Jonathan Bennett","2","1:35.500","3:57.895","Green","Track","3.629","12.670","0.591","15.455","11.340","8.939","0.604","14.339","11.084","10.461","2.177","4.211","133.826","134.332"
"55","DPi","Harry Tincknell","2","1:30.191","3:58.244","Green","Track","3.703","12.368","0.518","13.868","10.934","8.700","0.510","12.958","10.591","9.923","2.156","3.962","152.685","159.091"
"8","GTD","Parker Chase","2","1:39.127","3:58.348","Green","Track","3.835","13.399","0.592","15.862","11.149","10.117","0.590","14.392","10.799","11.004","2.491","4.897","133.600","137.519"
"63","GTD","Toni Vilander","2","1:40.601","4:00.601","Green","Track","3.746","14.002","0.595","15.518","11.349","10.221","0.676","14.980","11.174","11.296","2.489","4.555","132.926","120.024"
"73","GTD","Patrick Long","2","1:36.122","4:02.221","Green","Track","3.636","13.266","0.580","14.619","10.924","9.944","0.581","13.783","10.765","11.039","2.459","4.526","136.364","139.650"
"76","GTD","Paul Holton","2","1:39.218","4:03.258","Green","Track","3.919","13.464","0.587","15.049","11.297","9.982","0.590","14.292","10.746","12.229","2.496","4.567","134.737","137.519"
"6","DPi","Juan Pablo Montoya","2","1:38.898","4:07.860","Green","Track","9.690","13.426","0.604","14.926","10.674","8.937","0.521","13.529","10.671","9.790","2.152","3.978","130.945","155.732"
"86","GTD","Trent Hindman","2","1:40.434","4:08.211","Green","Track","3.681","13.140","0.574","14.631","10.991","11.075","0.833","16.233","11.764","10.542","2.432","4.538","137.789","97.403"
"48","GTD","Ryan Hardwick","2","1:39.542","4:10.329","Green","Track","3.810","13.739","0.586","15.019","11.315","10.031","0.585","14.887","11.126","11.467","2.456","4.521","134.967","138.695"
"85","DPi","Tristan Vautier","2","1:43.986","4:10.410","Green","Track","9.380","13.773","0.589","16.176","12.947","9.204","0.543","14.143","10.443","10.415","2.200","4.173","134.280","149.422"
"57","GTD","Christina Nielsen","2","1:37.212","4:12.578","Green","Track","3.811","14.280","0.579","14.645","11.118","10.058","0.579","13.895","10.662","10.665","2.440","4.480","136.599","140.132"
"84","DPi","Stephen Simpson","2","1:42.963","4:29.447","Green","Track","9.440","14.881","0.603","15.396","11.595","9.094","0.552","14.259","10.442","10.424","2.203","4.074","131.162","146.986"
"10","DPi","Jordan Taylor","2","2:14.915","4:43.139","Green","Track","46.286","13.871","0.542","14.734","10.600","8.967","0.525","13.239","10.138","9.891","2.133","3.989","145.924","154.545"
"31","DPi","Pipo Derani","3","1:37.014","4:43.999","Green","Pit","3.139","11.182","0.512","13.179","9.940","8.819","0.517","13.083","10.106","9.819","5.302","11.416","154.474","156.937"
"14","GTD","Richard Heistand","3","1:33.357","4:57.635","Green","Track","3.345","12.737","0.570","14.506","10.709","9.858","0.577","13.572","10.447","10.199","2.386","4.451","138.756","140.618"
"96","GTD","Bill Auberlen","3","1:33.461","4:59.873","Green","Track","3.467","12.695","0.561","14.346","10.958","9.809","0.566","13.517","10.434","10.334","2.387","4.387","140.982","143.350"
"77","DPi","Oliver Jarvis","3","1:26.259","5:01.843","Green","Track","3.125","11.144","0.503","13.094","10.022","8.628","0.509","13.760","10.104","9.371","2.097","3.902","157.238","159.403"
"74","GTD","Lawson Aschenbach","2","1:50.043","5:05.912","Green","Track","9.481","15.077","0.760","16.225","12.323","10.224","0.670","16.249","11.480","10.578","2.441","4.535","104.067","121.099"
"44","GTD","Andy Lally","2","1:57.674","5:09.960","Green","Track","9.907","16.420","0.684","19.768","12.506","10.657","0.712","16.233","11.623","11.913","2.577","4.674","115.630","113.956"
"50","DPi","Victor Franzoni","3","1:26.955","5:13.684","Green","Track","3.104","11.480","0.513","13.545","10.445","9.116","0.535","12.933","9.713","9.485","2.127","3.959","154.173","151.657"
"7","DPi","Ricky Taylor","3","1:24.752","5:16.550","Green","Track","2.980","11.163","0.508","12.913","9.863","8.802","0.514","12.534","9.800","9.633","2.109","3.933","155.691","157.853"
"12","GTD","Frank Montecalvo","3","1:35.229","5:18.705","Green","Track","3.404","12.905","0.584","14.269","10.831","9.977","0.586","14.125","10.595","10.956","2.468","4.529","135.430","138.458"
"55","DPi","Harry Tincknell","3","1:26.158","5:24.402","Green","Track","3.713","12.006","0.505","13.253","9.793","8.661","0.511","12.469","9.856","9.397","2.086","3.908","156.616","158.780"
"54","DPi","Jonathan Bennett","3","1:32.624","5:30.519","Green","Track","3.803","12.136","0.541","14.592","10.876","8.857","0.530","14.047","10.637","10.485","2.167","3.953","146.194","153.087"
"8","GTD","Parker Chase","3","1:36.016","5:34.364","Green","Track","4.075","13.317","0.580","14.412","10.744","10.029","0.588","13.971","10.685","10.592","2.461","4.562","136.364","137.987"
"6","DPi","Juan Pablo Montoya","3","1:27.193","5:35.053","Green","Track","3.222","11.424","0.510","13.663","10.157","8.758","0.538","12.981","9.881","9.876","2.192","3.991","155.080","150.811"
"63","GTD","Toni Vilander","3","1:35.097","5:35.698","Green","Track","3.551","13.256","0.578","14.431","10.823","9.922","0.579","13.849","10.500","10.680","2.441","4.487","136.835","140.132"
"73","GTD","Patrick Long","3","1:34.923","5:37.144","Green","Track","3.466","12.813","0.572","14.096","10.649","9.895","0.579","13.586","10.667","11.669","2.433","4.498","138.271","140.132"
"85","DPi","Tristan Vautier","3","1:27.472","5:37.882","Green","Track","3.394","11.967","0.521","13.359","10.298","8.903","0.522","12.978","9.703","9.668","2.163","3.996","151.806","155.434"
"76","GTD","Paul Holton","3","1:35.218","5:38.476","Green","Track","3.672","12.993","0.579","14.526","10.821","9.897","0.585","13.891","10.368","10.902","2.462","4.522","136.599","138.695"
"86","GTD","Trent Hindman","3","1:32.956","5:41.167","Green","Track","3.478","12.856","0.572","13.878","10.535","9.901","0.577","13.544","10.338","10.369","2.437","4.471","138.271","140.618"
"48","GTD","Ryan Hardwick","3","1:35.974","5:46.303","Green","Track","3.848","13.928","0.581","14.015","10.976","9.959","0.582","13.868","10.706","10.593","2.425","4.493","136.129","139.410"
"57","GTD","Christina Nielsen","3","1:34.492","5:47.070","Green","Track","3.665","13.453","0.575","14.045","10.895","9.890","0.576","13.816","10.389","10.324","2.417","4.447","137.549","140.862"
"84","DPi","Stephen Simpson","3","1:27.489","5:56.936","Green","Track","3.279","11.789","0.521","13.293","10.327","8.900","0.526","13.090","9.808","9.768","2.161","4.027","151.806","154.252"
"5","DPi","Filipe Albuquerque","3","2:40.066","6:01.375","Green","Pit","58.106","14.018","0.643","15.094","10.653","8.906","0.540","13.950","10.341","9.737","5.091","12.987","123.003","150.253"
"10","DPi","Jordan Taylor","3","1:25.333","6:08.472","Green","Track","3.169","11.389","0.512","13.384","10.030","8.787","0.518","12.650","9.561","9.293","2.098","3.942","154.474","156.634"
"77","DPi","Oliver Jarvis","4","1:26.624","6:28.467","Green","Track","3.123","11.024","0.505","13.868","10.870","8.677","0.509","12.638","9.631","9.727","2.134","3.918","156.616","159.403"
"14","GTD","Richard Heistand","4","1:31.423","6:29.058","Green","Track","3.261","12.598","0.565","13.646","10.460","9.834","0.575","13.315","10.229","10.116","2.384","4.440","139.984","141.107"
"96","GTD","Bill Auberlen","4","1:31.938","6:31.811","Green","Track","3.371","12.476","0.556","13.925","10.706","9.696","0.564","13.536","10.283","10.138","2.340","4.347","142.250","143.859"
"50","DPi","Victor Franzoni","4","1:25.427","6:39.111","Green","Track","3.000","11.362","0.511","13.238","9.726","8.824","0.515","12.602","9.747","9.589","2.146","4.167","154.777","157.546"
"7","DPi","Ricky Taylor","4","1:22.917","6:39.467","Green","Track","2.859","10.980","0.503","12.574","9.560","8.784","0.512","12.395","9.621","9.156","2.086","3.887","157.238","158.469"
"74","GTD","Lawson Aschenbach","3","1:36.905","6:42.817","Green","Track","3.558","12.982","0.583","14.208","10.699","9.934","0.587","14.001","11.404","11.823","2.519","4.607","135.662","138.222"
"55","DPi","Harry Tincknell","4","1:23.346","6:47.748","Green","Track","2.954","10.865","0.503","12.651","9.579","8.707","0.509","12.845","9.758","9.022","2.059","3.894","157.238","159.403"
"12","GTD","Frank Montecalvo","4","1:33.563","6:52.268","Green","Track","3.337","12.816","0.578","13.857","10.784","9.939","0.580","13.628","10.691","10.501","2.396","4.456","136.835","139.890"
"31","DPi","Felipe Nasr","4","2:13.839","6:57.838","Green","Track","43.605","14.988","0.607","15.179","10.706","8.971","0.530","13.341","9.970","9.759","2.170","4.013","130.298","153.087"
"6","DPi","Juan Pablo Montoya","4","1:26.333","7:01.386","Green","Track","3.148","11.708","0.511","13.169","9.975","8.741","0.535","12.893","10.287","9.353","2.096","3.917","154.777","151.657"
"85","DPi","Tristan Vautier","4","1:26.421","7:04.303","Green","Track","3.162","11.856","0.520","13.355","10.142","8.791","0.518","12.934","9.520","9.456","2.159","4.008","152.098","156.634"
"8","GTD","Parker Chase","4","1:33.717","7:08.081","Green","Track","3.457","12.744","0.582","13.983","10.467","9.937","0.585","14.040","10.441","10.504","2.439","4.538","135.895","138.695"
"63","GTD","Toni Vilander","4","1:34.176","7:09.874","Green","Track","3.354","12.822","0.571","14.152","11.179","9.914","0.577","13.652","10.535","10.554","2.409","4.457","138.513","140.618"
"73","GTD","Patrick Long","4","1:33.040","7:10.184","Green","Track","3.466","12.697","0.570","13.799","10.495","9.884","0.577","13.568","10.445","10.636","2.433","4.470","138.756","140.618"
"76","GTD","Paul Holton","4","1:33.780","7:12.256","Green","Track","3.570","12.958","0.577","14.270","10.599","9.754","0.578","13.491","10.430","10.675","2.405","4.473","137.073","140.374"
"86","GTD","Trent Hindman","4","1:31.963","7:13.130","Green","Track","3.384","12.713","0.569","13.777","10.462","9.876","0.575","13.431","10.232","10.145","2.381","4.418","139.000","141.107"
"48","GTD","Ryan Hardwick","4","1:33.644","7:19.947","Green","Track","3.425","12.776","0.571","13.698","10.556","9.876","0.579","14.085","10.579","10.560","2.439","4.500","138.513","140.132"
"44","GTD","Andy Lally","3","2:10.084","7:20.044","Green","Pit","3.823","14.190","0.962","17.209","11.631","10.110","0.593","14.971","11.427","12.175","6.002","26.991","82.215","136.824"
"57","GTD","Christina Nielsen","4","1:33.259","7:20.329","Green","Track","3.502","12.659","0.565","13.816","10.558","9.861","0.574","13.619","10.517","10.624","2.467","4.497","139.984","141.353"
"84","DPi","Stephen Simpson","4","1:24.825","7:21.761","Green","Track","3.105","11.346","0.517","12.771","9.820","8.861","0.525","12.721","9.630","9.362","2.155","4.012","152.980","154.545"
"10","DPi","Jordan Taylor","4","1:22.668","7:31.140","Green","Track","2.921","11.041","0.507","12.633","9.690","8.760","0.515","12.071","9.463","9.067","2.072","3.928","155.998","157.546"
"54","DPi","Jonathan Bennett","4","2:14.318","7:44.837","Green","Pit","3.536","11.977","0.506","14.310","10.930","8.706","0.512","13.925","11.323","11.547","7.153","39.893","156.306","158.469"
"5","DPi","Filipe Albuquerque","4","1:43.633","7:45.008","Green","Track","13.891","15.302","0.531","13.926","10.356","9.156","0.580","13.298","11.031","9.484","2.117","3.961","148.947","139.890"
"77","DPi","Oliver Jarvis","5","1:22.636","7:51.103","Green","Track","2.992","10.816","0.500","12.766","9.752","8.595","0.509","12.361","9.535","8.897","2.041","3.872","158.182","159.403"
"7","DPi","Ricky Taylor","5","1:21.850","8:01.317","Green","Track","2.795","10.847","0.502","12.321","9.381","8.688","0.508","12.093","9.521","9.226","2.069","3.899","157.552","159.717"
"96","GTD","Bill Auberlen","5","1:31.229","8:03.040","Green","Track","3.367","12.716","0.557","13.616","10.378","9.640","0.563","13.151","10.266","10.287","2.347","4.341","141.994","144.114"
"50","DPi","Victor Franzoni","5","1:24.519","8:03.630","Green","Track","3.630","11.371","0.507","12.992","9.579","8.719","0.512","12.358","9.490","9.302","2.124","3.935","155.998","158.469"
"14","GTD","Richard Heistand","5","1:40.816","8:09.874","Green","Pit","3.279","12.611","0.566","13.581","10.774","9.796","0.574","13.405","10.333","10.206","4.374","11.317","139.737","141.353"
"55","DPi","Harry Tincknell","5","1:22.526","8:10.274","Green","Track","2.856","10.758","0.501","12.529","9.704","8.820","0.514","12.258","9.516","9.058","2.093","3.919","157.866","157.853"
"74","GTD","Lawson Aschenbach","4","1:32.984","8:15.801","Green","Track","3.498","12.863","0.581","14.042","10.807","9.855","0.585","13.512","10.165","10.195","2.405","4.476","136.129","138.695"
"31","DPi","Felipe Nasr","5","1:26.325","8:24.163","Green","Track","2.944","11.386","0.515","13.212","10.001","8.854","0.517","12.959","9.669","10.092","2.176","4.000","153.575","156.937"
"12","GTD","Frank Montecalvo","5","1:32.395","8:24.663","Green","Track","3.271","12.823","0.576","13.879","10.560","9.794","0.578","13.295","10.296","10.445","2.412","4.466","137.311","140.374"
"85","DPi","Tristan Vautier","5","1:22.714","8:27.017","Green","Track","2.944","11.156","0.515","12.427","9.613","8.762","0.519","12.242","9.390","9.086","2.103","3.957","153.575","156.332"
"73","GTD","Patrick Long","5","1:32.404","8:42.588","Green","Track","3.459","12.770","0.568","14.172","10.505","9.849","0.579","13.228","10.207","10.174","2.411","4.482","139.245","140.132"
"63","GTD","Toni Vilander","5","1:34.099","8:43.973","Green","Track","3.387","12.972","0.573","14.829","10.749","9.829","0.573","13.570","10.372","10.385","2.404","4.456","138.030","141.599"
"76","GTD","Paul Holton","5","1:33.140","8:45.396","Green","Track","3.501","12.640","0.573","14.003","10.796","9.800","0.579","13.323","10.343","10.700","2.415","4.467","138.030","140.132"
"84","DPi","Stephen Simpson","5","1:25.688","8:47.449","Green","Track","3.202","11.565","0.519","13.345","10.136","8.840","0.522","12.574","9.525","9.344","2.129","3.987","152.391","155.434"
"48","GTD","Ryan Hardwick","5","1:33.599","8:53.546","Green","Track","3.348","12.586","0.570","13.739","11.417","9.891","0.580","13.680","10.475","10.382","2.432","4.499","138.756","139.890"
"10","DPi","Jordan Taylor","5","1:22.554","8:53.694","Green","Track","2.835","10.969","0.506","12.381","9.650","8.726","0.515","12.133","9.367","9.367","2.143","3.962","156.306","157.546"
"86","GTD","Trent Hindman","5","1:43.075","8:56.205","Green","Pit","3.259","12.611","0.568","13.945","10.681","9.833","0.572","13.517","10.310","10.587","5.250","11.942","139.245","141.847"
"6","DPi","Juan Pablo Montoya","5","1:57.761","8:59.147","Green","Pit","3.028","11.036","0.504","12.766","9.625","8.738","0.516","12.656","9.753","9.618","5.065","34.456","156.926","157.241"
"57","GTD","Christina Nielsen","5","1:44.006","9:04.335","Green","Pit","3.502","12.691","0.567","14.548","10.837","9.942","0.575","13.375","10.364","10.864","5.147","11.594","139.490","141.107"
"5","DPi","Filipe Albuquerque","5","1:23.360","9:08.368","Green","Track","2.938","11.126","0.511","12.784","9.581","8.735","0.519","12.359","9.587","9.168","2.098","3.954","154.777","156.332"
"77","DPi","Oliver Jarvis","6","1:22.586","9:13.689","Green","Track","2.932","10.755","0.500","12.749","9.744","8.613","0.510","12.378","9.571","8.922","2.049","3.863","158.182","159.091"
"44","GTD","Andy Lally","4","1:58.064","9:18.108","Green","Pit","9.633","15.576","0.626","15.505","11.344","10.101","0.589","14.513","11.042","11.851","5.760","11.524","126.343","137.753"
"54","DPi","Colin Braun","5","1:36.878","9:21.715","Green","Track","9.306","14.194","0.512","14.557","10.792","8.664","0.503","13.002","9.917","9.476","2.091","3.864","154.474","161.305"
"7","DPi","Ricky Taylor","6","1:22.730","9:24.047","Green","Track","2.746","10.828","0.523","12.772","9.488","8.736","0.558","12.492","9.576","9.032","2.065","3.914","151.225","145.406"
"8","GTD","Parker Chase","5","2:22.352","9:30.433","Green","Pit","3.492","12.763","0.579","13.766","10.495","9.972","0.589","13.469","10.315","10.616","5.397","50.899","136.599","137.753"
"55","DPi","Harry Tincknell","6","1:23.337","9:33.611","Green","Track","2.830","10.698","0.501","12.341","9.630","8.658","0.509","12.548","10.130","9.574","2.049","3.869","157.866","159.403"
"96","GTD","Bill Auberlen","6","1:32.486","9:35.526","Green","Track","3.343","12.403","0.559","13.976","10.503","9.811","0.575","13.519","10.398","10.586","2.377","4.436","141.486","141.107"
"74","GTD","Lawson Aschenbach","5","1:31.430","9:47.231","Green","Track","3.299","12.532","0.573","13.691","10.469","9.864","0.583","13.395","10.085","10.119","2.374","4.446","138.030","139.170"
"31","DPi","Felipe Nasr","6","1:23.334","9:47.497","Green","Track","2.886","11.109","0.510","12.678","9.695","8.778","0.518","12.464","9.480","9.188","2.097","3.931","155.080","156.634"
"12","GTD","Frank Montecalvo","6","1:44.886","10:09.549","Green","Pit","3.338","12.980","0.583","14.458","10.616","9.859","0.578","13.481","10.597","10.669","6.437","11.290","135.662","140.374"
"73","GTD","Patrick Long","6","1:31.153","10:13.741","Green","Track","3.350","12.517","0.570","13.683","10.216","9.860","0.580","13.187","10.173","10.144","2.402","4.471","138.756","139.890"
"50","DPi","Victor Franzoni","6","2:10.378","10:14.008","Green","Pit","3.042","11.885","0.517","13.437","9.661","8.759","0.514","12.514","9.554","9.695","5.617","45.183","152.980","157.853"
